target_kappaR,actual_kappaR,delta,delta_over_pi,Fbar,Pi_left
7.0,7.021818635062862,3.5342917352885173,1.125,-0.004152712933689353,-0.002586514654953259
7.0,7.021818635062862,3.6324665057131984,1.15625,-0.00396375632304451,-0.0031861350789538453
7.0,7.021818635062862,3.730641276137879,1.1875,-0.0037366805945757984,-0.0037550802873992928
7.0,7.021818635062862,3.8288160465625602,1.21875,-0.0034737635449253604,-0.004287870802887606
7.0,7.021818635062862,3.9269908169872414,1.25,-0.003177642632343756,-0.004779374560170206
7.0,7.021818635062862,4.025165587411922,1.28125,-0.002851280762648894,-0.005224856434206994
7.0,7.021818635062862,4.123340357836604,1.3125,-0.002497928739892613,-0.005620024007755606
7.0,7.021818635062862,4.221515128261284,1.34375,-0.002121087289813562,-0.005961069117401897
7.0,7.021818635062862,4.319689898685965,1.3749999999999998,-0.00172447039916633,-0.00624470475331486
7.0,7.021818635062862,4.417864669110647,1.40625,-0.0013119699893682814,-0.006468196933120637
7.0,7.021818635062862,4.516039439535327,1.4375,-0.0008876204604540698,-0.006629391223300977
7.0,7.021818635062862,4.614214209960009,1.46875,-0.00045556108036640315,-0.0067267336401864155
7.0,7.021818635062862,4.71238898038469,1.5,-1.9994803883146944e-05,-0.006759285723943742
7.0,7.021818635062862,4.81056375080937,1.53125,0.00041485640740952735,-0.006726733640186582
7.0,7.021818635062862,4.908738521234052,1.5625,0.0008447980247819284,-0.006629391223301308
7.0,7.021818635062862,5.006913291658733,1.59375,0.001265708344577051,-0.0064681969331211306
7.0,7.021818635062862,5.105088062083414,1.6250000000000002,0.0016735800646215154,-0.006244704753315513
7.0,7.021818635062862,5.203262832508095,1.65625,0.0020645564209657227,-0.005961069117402699
7.0,7.021818635062862,5.301437602932776,1.6875,0.0024349620030318423,-0.005620024007756554
7.0,7.021818635062862,5.399612373357457,1.71875,0.002781329920711717,-0.0052248564342080766
7.0,7.021818635062862,5.497787143782138,1.75,0.0031004276650589083,-0.004779374560171414
7.0,7.021818635062862,5.595961914206819,1.78125,0.003389283488867934,-0.00428787080288893
7.0,7.021818635062862,5.6941366846315,1.8125,0.003645213680995323,-0.0037550802874007153
7.0,7.021818635062862,5.792311455056181,1.84375,0.003865849397664924,-0.0031861350789553545
7.0,7.021818635062862,5.890486225480862,1.8749999999999998,0.00404916054838177,-0.0025865146549548432
7.0,7.021818635062862,5.988660995905543,1.90625,0.004193474174026525,-0.001961993105837979
7.0,7.021818635062862,6.086835766330224,1.9375,0.004297485859733646,-0.0013185835762579957
7.0,7.021818635062862,6.1850105367549055,1.96875,0.004360264521900242,-0.0006624804754313267
